city,lat,temp,humidity,cloudiness,wind_speed
rikitea,-23.12,296.6,88,99,1.21
yellowknife,62.45,285.0,76,75,5.1
kaitangata,-46.28,285.37,68,0,3.13
listvyanskiy,54.44,285.1,63,12,6.15
georgetown,6.8,299.15,94,40,2.1
sabha,27.03,297.5,35,0,3.14
ust-kan,50.93,287.7,59,40,1.6
bluff,-23.58,300.4,41,38,5.55
new norfolk,-42.78,285.2,43,75,8.2
gornorechenskiy,44.26,286.1,54,13,4.43
khatanga,71.98,277.7,78,100,6.94
aklavik,68.22,280.15,100,90,2.1
alofi,-19.06,292.15,100,100,6.2
jumla,29.28,287.9,71,0,0.96
touros,-5.2,296.15,88,40,2.1
punta arenas,-53.16,278.15,75,40,6.7
ushuaia,-54.81,275.15,93,40,9.8
mar del plata,-46.43,280.2,49,0,4.69
qaanaaq,77.48,266.6,43,10,2.39
cayenne,4.94,298.15,88,0,3.29
hithadhoo,-0.6,301.2,75,65,5.7
busselton,-33.64,291.28,35,0,4.73
baruun-urt,46.68,292.5,34,0,5.84
baglan,51.62,290.01,82,75,5.7
opuwo,-18.06,286.7,64,27,0.67
jalingo,10.21,294.5,92,5,1.25
margate,-43.03,284.75,43,75,8.2
waiouru,-39.48,288.5,45,0,2.11
bethel,60.79,280.82,87,75,7.7
ilave,-16.09,282.1,67,86,1.84
gravatai,-29.94,283.4,93,0,1.5
scarborough,54.28,285.5,100,100,1.0
castro,-42.48,277.15,93,0,2.6
zanesville,39.94,293.55,88,1,1.83
sault sainte marie,46.49,294.45,94,90,5.7
hermanus,-34.42,285.24,99,3,9.26
beringovskiy,63.05,276.7,50,23,7.71
kapaa,22.08,300.85,78,40,7.7
avera,33.19,294.02,72,1,2.1
haines junction,60.75,278.2,82,94,2.36
arman,59.7,278.3,96,100,1.38
east london,-33.02,288.15,77,0,5.1
bredasdorp,-34.53,283.88,87,0,4.1
upernavik,72.79,276.4,72,100,3.51
jamestown,-33.21,286.9,49,10,6.63
airai,-8.93,301.3,51,82,2.84
katsuura,33.93,297.37,83,75,9.3
morro bay,35.37,290.85,52,1,2.94
santa isabel do rio negro,-0.41,295.8,96,9,1.18
shetpe,44.14,287.2,55,100,5.95
mount gambier,-37.83,283.15,87,75,5.7
hasaki,35.73,299.67,73,75,5.1
lingao,19.91,299.9,66,51,5.67
chara,39.42,283.18,100,0,0.1
bambous virieux,-20.34,296.02,69,40,6.7
komsomolskiy,67.55,273.0,77,0,2.23
stillwater,36.12,298.8,78,1,3.6
tuktoyaktuk,69.44,279.15,93,90,3.6
albany,42.65,286.41,93,1,0.69
victoria,5.28,305.5,62,75,1.5
aksu,52.04,292.15,29,0,10.0
lashio,22.93,293.9,99,100,1.15
lensk,60.71,281.9,76,25,6.09
japura,-0.42,304.3,43,84,2.39
champerico,16.38,297.15,83,40,2.1
chuy,-33.69,285.7,76,0,7.21
fairbanks,64.84,276.72,93,90,3.6
mandalgovi,45.76,293.5,22,0,2.29
kisangani,0.52,294.4,89,100,0.35
hluti,-27.22,291.15,77,0,1.0
svay rieng,11.08,297.7,89,100,1.8
tasiilaq,65.61,279.15,75,100,14.9
leningradskiy,69.38,273.6,93,100,8.04
chokurdakh,70.62,275.1,53,0,2.71
kaoma,-14.8,289.0,40,11,2.98
sadao,6.63,303.34,70,40,1.5
saskylakh,71.97,279.1,80,60,5.12
vershino-shakhtaminskiy,51.3,293.7,37,0,4.24
hammerfest,70.66,276.15,71,100,9.8
barrow,-38.31,276.7,72,0,1.78
iberia,-11.41,295.8,94,68,0.71
muisne,0.61,296.8,84,100,5.17
port lincoln,-34.72,286.4,71,91,11.13
maryborough,-25.54,301.0,34,0,3.42
atuona,-9.8,300.0,77,29,9.2
rio grande,-32.03,278.71,95,0,2.47
gornopravdinsk,60.06,278.2,90,100,4.23
lesnyye polyany,55.97,278.74,93,90,6.0
avarua,-21.21,297.15,78,100,0.5
kaeo,-35.1,290.85,67,0,3.13
hilo,19.71,296.02,62,40,2.6
senneterre,48.39,292.15,77,1,4.6
bandarbeyla,9.49,296.3,74,6,9.08
longyearbyen,78.22,273.15,77,40,3.1
mataura,-46.19,289.4,45,0,0.96
caravelas,-17.73,294.7,84,0,3.04
taiyuan,37.86,295.15,40,0,1.0
karratha,-20.74,302.2,7,0,9.39
shimoda,34.7,298.82,64,75,8.7
port alfred,-33.59,288.71,87,73,1.79
vaini,15.34,296.15,88,75,2.1
thompson,55.74,283.15,87,90,2.6
kanniyakumari,8.08,300.2,83,100,6.54
kizukuri,40.81,294.57,60,90,2.6
kokorevka,52.59,283.15,93,90,6.0
skjervoy,70.03,279.3,67,100,4.31
rapid valley,44.06,282.45,93,1,3.1
narsaq,60.91,276.15,93,83,1.5
sri aman,1.24,303.85,74,75,1.0
husavik,50.56,286.74,95,100,2.24
volnovakha,47.6,280.2,56,60,6.26
gonbad-e qabus,37.25,293.63,88,90,3.1
alice springs,-23.7,293.15,18,90,6.7
kodiak,39.95,295.97,83,1,6.2
balabac,7.99,303.0,70,100,4.05
hobyo,5.35,297.4,81,100,7.47
constitucion,23.99,292.11,68,40,1.0
calama,-22.46,285.25,16,75,5.7
geraldton,49.72,292.15,100,90,4.6
saint-philippe,45.36,290.4,93,1,2.21
whitehorse,60.72,283.4,62,75,4.6
hami,42.84,300.5,11,0,1.33
sterling,39.0,294.75,73,75,1.5
saint anthony,43.97,282.02,76,90,2.41
codrington,-28.95,301.37,37,40,4.6
clyde river,70.47,273.15,97,90,7.7
nikolskoye,59.7,277.2,86,20,4.0
saint-augustin,45.63,290.55,100,5,1.37
yaan,7.38,296.2,96,99,2.74
nacogdoches,31.6,297.72,83,1,3.1
bukachacha,52.99,291.4,51,0,3.24
talnakh,69.49,274.15,55,75,14.0
bedford,32.84,301.4,58,20,6.7
acapulco,16.86,301.15,83,75,1.0
ostrovnoy,68.05,276.2,97,100,9.93
prince rupert,54.32,285.15,100,90,1.0
ribeira grande,38.52,295.9,87,100,9.9
vila velha,-3.71,298.59,74,75,7.2
doka,13.52,294.5,95,70,4.2
mikhaylovka,52.96,286.7,74,100,2.9
tamandare,-8.28,296.6,95,96,1.09
lasa,34.92,294.71,64,0,2.6
makakilo city,21.35,299.58,65,75,4.1
nuuk,64.17,276.15,93,100,3.1
torbay,47.66,278.76,86,5,5.7
quirinopolis,-18.45,298.8,50,35,2.68
port said,25.34,296.0,57,0,5.51
burns lake,54.23,282.0,93,100,2.37
cockburn town,21.46,301.7,78,100,2.72
xining,36.62,282.8,48,41,2.44
nokaneng,-19.66,289.2,16,0,2.03
severo-kurilsk,50.68,281.9,82,33,6.54
lazaro cardenas,28.39,292.31,93,90,3.6
nome,30.04,298.74,83,75,2.6
quatre cocos,-20.21,296.03,69,40,6.7
te anau,-45.41,282.8,76,2,4.24
warman,52.32,283.29,71,40,3.1
porto velho,-8.75,297.15,88,40,2.1
chapais,49.78,290.15,88,1,4.1
cape town,-33.93,287.21,76,75,4.1
chimbote,-9.08,289.0,93,91,4.92
san patricio,-26.98,284.6,60,8,3.65
pontian kecil,1.48,304.2,62,75,4.1
kruisfontein,-34.0,285.2,85,68,8.2
luderitz,-26.65,287.15,62,0,10.8
puerto ayora,-0.74,293.15,79,0,2.24
hobart,-42.88,284.72,43,75,8.2
lebu,8.96,287.15,87,75,2.1
pudsey,53.8,286.03,93,100,1.5
arraial do cabo,-22.97,294.3,94,100,5.34
daru,-9.07,297.6,87,100,5.6
marawi,8.0,303.71,67,15,3.13
jieshi,22.82,303.15,37,62,0.89
tuatapere,-46.13,284.0,66,0,3.49
dikson,73.51,276.0,96,100,7.46
hay river,60.82,290.15,59,75,4.6
namibe,-15.19,291.5,83,86,3.68
padang,-0.92,299.6,85,48,7.57
faanui,-16.48,300.0,84,0,6.71
darhan,49.49,289.8,61,80,3.22
marzuq,14.4,294.6,38,48,0.7
naters,46.32,285.38,93,75,3.94
giyani,-23.32,292.2,41,0,0.98
pevek,69.7,274.7,90,100,5.98
saint george,39.45,284.06,76,0,2.6
luganville,-15.51,301.15,54,75,6.2
ilulissat,69.22,276.15,74,100,2.1
pangnirtung,66.15,270.0,76,0,2.13
kalabo,-15.0,290.3,26,11,2.52
rawson,-43.3,282.5,37,0,5.14
ponta do sol,-20.63,296.7,56,51,2.6
porto novo,-23.68,291.15,88,75,1.0
veraval,49.65,291.97,72,0,3.6
dingle,11.0,303.5,67,34,3.54
stony plain,53.53,287.01,82,1,1.5
ampanihy,-24.69,292.8,67,0,3.6
port elizabeth,39.31,291.14,93,1,2.1
asyut,27.18,294.15,73,0,6.2
nhulunbuy,-12.18,301.15,69,75,6.7
lorengau,-2.02,302.0,70,81,3.88
elko,40.83,282.09,62,1,1.5
masty,53.42,283.15,87,0,4.0
buraydah,26.33,299.15,36,0,1.5
sao gabriel da cachoeira,-0.13,296.3,98,100,0.73
panna,24.72,300.15,88,40,1.64
tabou,4.42,297.0,91,100,1.59
vaitape,-16.52,300.0,84,0,6.71
petropavlovskaya,45.08,280.6,68,0,4.41
port macquarie,-31.43,297.06,77,75,3.6
havelock,34.88,291.95,77,1,1.29
garowe,8.41,296.1,67,75,9.24
vao,59.1,279.2,84,94,5.44
borazjan,29.27,303.15,48,0,0.65
ossora,59.24,282.2,39,63,0.63
hudson bay,52.86,281.8,90,0,2.57
ovsyanka,53.58,289.8,54,0,2.41
purpe,64.48,279.26,90,0,6.09
kaputa,-8.47,292.0,51,0,1.16
northam,-31.65,290.15,51,0,6.2
ambon,47.55,288.11,100,100,2.1
elat,2.91,293.4,99,97,0.91
maroantsetra,-15.43,289.9,98,87,1.8
praia,-20.25,298.15,50,0,4.1
belyy yar,53.6,284.15,81,0,1.0
vestmannaeyjar,63.44,284.3,87,100,12.41
houma,35.63,296.4,40,0,2.8
williams lake,52.13,288.15,72,90,0.93
norman wells,65.28,284.15,87,90,4.6
iqaluit,63.75,273.95,86,75,3.1
ambulu,-8.35,296.1,85,0,6.34
iquique,-20.22,287.15,71,0,2.1
mananjary,-19.16,286.9,69,24,2.04
naze,5.43,297.0,93,100,1.92
bayog,7.85,306.1,46,1,0.22
puerto madryn,-42.77,283.7,34,0,4.86
isangel,-19.55,298.15,69,75,6.2
broome,52.47,289.28,93,89,2.1
khartoum,15.59,301.15,74,0,5.1
kangaba,11.94,294.8,90,75,0.33
kahului,20.89,298.82,65,40,8.2
cap malheureux,-19.98,296.04,69,40,6.7
hambantota,6.12,298.15,100,40,2.1
ulladulla,-35.36,293.17,25,0,5.1
muroto,33.37,301.15,78,75,11.3
saint-denis,48.94,291.04,63,0,3.1
san luis,-33.3,289.4,18,0,10.58
kulhudhuffushi,6.62,301.2,78,100,4.56
tiksi,71.64,276.9,80,100,2.84
carnarvon,-30.97,282.3,80,77,7.26
tokonou,9.65,293.8,98,100,2.25
samarai,-10.62,298.5,90,87,4.35
pimentel,-3.7,297.1,84,0,2.17
parrita,9.52,293.28,100,0,1.5
mahebourg,-20.41,296.01,69,40,6.7
labuan,5.28,305.5,62,75,1.5
kavieng,-2.57,302.2,66,19,2.78
dubrovnik,42.65,285.31,59,0,3.6
port blair,11.67,301.0,82,61,7.42
shelburne,44.08,293.31,83,1,2.1
coihaique,-45.58,273.9,99,92,1.5
port shepstone,-30.74,289.7,76,98,4.34
sangar,63.92,274.3,96,100,6.6
potiskum,11.71,296.9,73,15,3.46
cascais,38.7,289.53,100,20,2.6
fort morgan,40.25,285.78,71,90,8.7
sao filipe,14.9,300.5,85,44,7.32
pyay,18.82,301.0,81,79,1.62
panama city,30.16,297.09,65,1,2.1
jasper,33.83,293.88,100,1,1.46
lagoa,37.14,290.04,88,20,3.6
ko samui,9.54,300.15,88,40,1.0
riviere-du-loup,47.83,284.1,86,32,1.38
ola,59.58,281.3,85,100,2.36
biak,-0.91,299.3,56,36,1.5
flinders,-34.58,293.67,25,0,5.1
arlit,18.74,304.6,12,0,5.12
lhokseumawe,5.18,300.0,79,100,1.22
kangavar,34.5,293.15,28,0,1.0
natal,-5.81,297.14,83,20,5.1
butaritari,3.07,302.7,57,0,2.05
adrar,27.87,301.15,17,58,5.7
zmeinogorsk,51.15,290.2,41,0,2.03
provideniya,64.42,274.6,57,100,1.21
biltine,14.53,302.0,61,72,3.49
vardo,39.62,293.15,78,1,0.85
esperance,-33.86,287.15,62,90,4.6
burnie,-41.05,286.48,57,74,3.58
suez,29.97,293.5,91,51,4.1
buckeye,33.37,298.86,21,1,2.1
roebourne,-20.77,301.9,7,0,9.31
algete,40.6,289.65,88,75,2.1
kalachinsk,55.05,286.9,45,100,11.21
puerto del rosario,28.5,295.71,78,0,3.1
middlebury,44.01,288.03,82,1,2.1
eskisehir,39.78,274.21,83,0,1.0
cabo san lucas,22.89,300.71,88,75,5.1
xinyu,27.8,301.4,35,0,0.78
zhongshu,24.52,291.0,52,0,3.52
fukue,35.03,300.43,57,75,9.3
